price,rating
17.99,8.51
2.99,8.51
29.99,8.51
24.99,8.51
9.99,8.51
13.49,8.51
24.99,8.5
19.99,8.5
1.19,8.5
19.99,8.5
14.99,8.5
4.99,8.5
19.99,8.5
14.99,8.5
14.99,8.5
14.99,8.5
1.49,8.5
0,8.5
4.99,8.5
59.99,8.5
17.99,8.5
14.99,8.5
0,8.5
17.99,8.49
23.99,8.49
2.99,8.49
14.99,8.49
9.99,8.49
14.99,8.49
29.99,8.49
3.99,8.49
0,8.49
39.99,8.49
9.99,8.49
15.99,8.49
0,8.49
19.99,8.49
13.99,8.49
3.99,8.49
29.99,8.49
19.99,8.49
2.99,8.49
9.99,8.49
34.99,8.49
14.99,8.48
8.99,8.48
0,8.48
7.99,8.48
14.99,8.48
2.99,8.48
29.99,8.48
0,8.48
9.99,8.48
1.59,8.48
13.99,8.48
19.99,8.48
5.99,8.48
19.99,8.48
0,8.48
0,8.48
29.99,8.48
0,8.48
24.99,8.48
19.99,8.48
19.99,8.48
19.99,8.48
19.99,8.48
2.99,8.48
9.99,8.48
11.99,8.47
49.99,8.47
24.99,8.47
14.99,8.47
29.99,8.47
14.99,8.47
19.99,8.47
4.99,8.47
12.99,8.47
49.99,8.47
10.99,8.47
9.99,8.47
11.99,8.47
5.99,8.47
14.99,8.87
9.99,8.85
9.99,8.82
9.99,8.81
9.99,8.8
4.99,8.79
24.99,8.78
4.99,8.78
9.99,8.77
5.99,8.75
34.99,8.74
59.99,8.74
9.99,8.74
59.99,8.73
14.99,8.73
24.99,8.72
9.99,8.72
14.99,8.72
13.99,8.72
8.49,8.72
29.99,8.72
14.99,8.71
9.99,8.71
14.99,8.71
59.99,8.71
19.99,8.71
19.99,8.71
39.99,8.71
16.74,8.7
19.99,8.7
0,8.69
29.99,8.69
0,8.69
19.99,8.69
14.99,8.69
4.99,8.68
39.99,8.68
39.99,8.68
4.99,8.67
14.99,8.67
17.99,8.67
35,8.67
34.99,8.66
19.99,8.66
9.99,8.66
24.99,8.66
9.99,8.66
19.99,8.65
14.99,8.65
0,8.65
39.99,8.65
9.99,8.65
19.99,8.64
4.99,8.64
7.99,8.64
9.99,8.63
29.99,8.63
7.49,8.63
19.99,8.63
0,8.62
0,8.62
19.99,8.62
19.99,8.62
9.99,8.62
9.99,8.61
24.99,8.61
14.99,8.61
9.99,8.61
14.99,8.61
9.99,8.61
14.99,8.61
20.99,8.6
29.99,8.6
10.99,8.6
19.99,8.6
0,8.6
9.99,8.6
9.99,8.6
14.99,8.6
19.99,8.6
14.99,8.6
0,8.6
9.99,8.6
15.99,8.6
5.99,8.59
4.99,8.59
0,8.59
19.99,8.59
19.99,8.59
0,8.59
19.99,8.59
59.99,8.59
17.99,8.58
29.99,8.58
9.99,8.58
5.99,8.58
8.99,8.58
4.99,8.58
1.99,8.58
14.99,8.57
4.99,8.57
19.99,8.57
29.99,8.57
49.99,8.57
0,8.57
14.99,8.57
12.99,8.57
44.99,8.57
0,8.57
14.99,8.56
9.74,8.56
0,8.56
12.49,8.56
59.99,8.56
29.99,8.56
12.99,8.56
14.99,8.56
24.99,8.55
29.99,8.55
19.99,8.55
29.99,8.55
19.99,8.55
19.99,8.55
14.99,8.55
29.99,8.55
29.99,8.55
19.99,8.54
9.99,8.54
2.99,8.54
39.99,8.54
9.99,8.54
1.59,8.54
13.99,8.54
19.99,8.54
59.99,8.54
12.74,8.53
4.99,8.53
4.99,8.53
1.99,8.53
19.99,8.53
9.99,8.53
29.99,8.53
0,8.53
9.99,8.53
9.99,8.53
0,8.53
0.79,8.53
19.99,8.52
44.99,8.52
6.79,8.52
39.99,8.52
19.99,8.52
19.99,8.52
29.99,8.52
39.99,8.52
0,8.52
39.99,8.52
0,8.52
34.99,8.52
19.99,8.52
4.94,8.52
19.99,8.51
19.99,8.51
12.99,8.51
0,8.51
0,8.51
0,8.51
17.99,8.51
2.99,8.51
29.99,8.51
24.99,8.51
9.99,8.51
13.49,8.51
24.99,8.5
19.99,8.5
1.19,8.5
19.99,8.5
14.99,8.5
4.99,8.5
19.99,8.5
14.99,8.5
14.99,8.5
14.99,8.5
1.49,8.5
0,8.5
4.99,8.5
59.99,8.5
17.99,8.5
14.99,8.5
0,8.5
17.99,8.49
23.99,8.49
2.99,8.49
14.99,8.49
9.99,8.49
14.99,8.49
29.99,8.49
3.99,8.49
0,8.49
39.99,8.49
9.99,8.49
15.99,8.49
0,8.49
19.99,8.49
13.99,8.49
3.99,8.49
29.99,8.49
19.99,8.49
2.99,8.49
9.99,8.49
34.99,8.49
14.99,8.48
8.99,8.48
0,8.48
7.99,8.48
14.99,8.48
2.99,8.48
29.99,8.48
0,8.48
9.99,8.48
1.59,8.48
13.99,8.48
19.99,8.48
5.99,8.48
19.99,8.48
0,8.48
0,8.48
29.99,8.48
0,8.48
24.99,8.48
19.99,8.48
19.99,8.48
19.99,8.48
19.99,8.48
2.99,8.48
9.99,8.48
11.99,8.47
49.99,8.47
24.99,8.47
14.99,8.47
29.99,8.47
14.99,8.47
19.99,8.47
4.99,8.47
12.99,8.47
49.99,8.47
10.99,8.47
9.99,8.47
11.99,8.47
5.99,8.47
